wl,n,k
4.58E-01,1.591664,0.00089
4.60E-01,1.591466,0.000885
4.63E-01,1.59127,0.000879
4.66E-01,1.591077,0.000874
4.69E-01,1.590886,0.000868
4.71E-01,1.590698,0.000863
4.74E-01,1.590512,0.000857
4.77E-01,1.590328,0.000852
4.80E-01,1.590147,0.000847
4.83E-01,1.589968,0.000842
4.85E-01,1.589791,0.000836
4.88E-01,1.589616,0.000831
4.91E-01,1.589444,0.000826
4.94E-01,1.589274,0.000821
4.97E-01,1.589105,0.000816
5.00E-01,1.588939,0.000811
5.03E-01,1.588775,0.000806
5.06E-01,1.588613,0.000801
5.09E-01,1.588453,0.000796
5.12E-01,1.588295,0.000791
5.15E-01,1.588139,0.000786
5.18E-01,1.587985,0.000781
5.21E-01,1.587833,0.000777
5.24E-01,1.587683,0.000772
5.27E-01,1.587534,0.000767
5.30E-01,1.587388,0.000762
5.33E-01,1.587243,0.000758
5.36E-01,1.5871,0.000753
5.39E-01,1.586959,0.000749
5.42E-01,1.586819,0.000744
5.45E-01,1.586682,0.000739
5.49E-01,1.586545,0.000735
5.52E-01,1.586411,0.00073
5.55E-01,1.586278,0.000726
5.58E-01,1.586147,0.000721
5.62E-01,1.586018,0.000717
5.65E-01,1.58589,0.000713
5.68E-01,1.585763,0.000708
5.72E-01,1.585639,0.000704
5.75E-01,1.585515,0.0007
5.78E-01,1.585394,0.000696
5.82E-01,1.585273,0.000691
5.85E-01,1.585154,0.000687
5.89E-01,1.585037,0.000683
5.92E-01,1.584921,0.000679
5.95E-01,1.584807,0.000675
5.99E-01,1.584694,0.000671
6.02E-01,1.584582,0.000667
6.06E-01,1.584471,0.000663
6.10E-01,1.584362,0.000659
6.13E-01,1.584255,0.000655
6.17E-01,1.584148,0.000651
6.20E-01,1.584043,0.000647
6.24E-01,1.583939,0.000643
6.28E-01,1.583837,0.000639
6.31E-01,1.583736,0.000635
6.35E-01,1.583635,0.000631
6.39E-01,1.583537,0.000627
6.42E-01,1.583439,0.000624
6.46E-01,1.583342,0.00062
6.50E-01,1.583247,0.000616
6.54E-01,1.583153,0.000612
6.58E-01,1.58306,0.000609
6.61E-01,1.582968,0.000605
6.65E-01,1.582877,0.000601
6.69E-01,1.582788,0.000598
6.73E-01,1.582699,0.000594
6.77E-01,1.582611,0.000591
6.81E-01,1.582525,0.000587
6.85E-01,1.582439,0.000584
6.89E-01,1.582355,0.00058
6.93E-01,1.582272,0.000577
6.97E-01,1.582189,0.000573
7.01E-01,1.582108,0.00057
7.05E-01,1.582027,0.000566
7.09E-01,1.581948,0.000563
7.14E-01,1.581869,0.000559
7.18E-01,1.581792,0.000556
7.22E-01,1.581715,0.000553
7.26E-01,1.581639,0.000549
7.31E-01,1.581565,0.000546
7.35E-01,1.581491,0.000543
7.39E-01,1.581418,0.00054
7.43E-01,1.581346,0.000536
7.48E-01,1.581274,0.000533
7.52E-01,1.581204,0.00053
7.57E-01,1.581134,0.000527
7.61E-01,1.581066,0.000524
7.65E-01,1.580998,0.000521
7.70E-01,1.580931,0.000518
7.74E-01,1.580864,0.000514
7.79E-01,1.580799,0.000511
7.84E-01,1.580734,0.000508
7.88E-01,1.58067,0.000505
7.93E-01,1.580607,0.000502
7.97E-01,1.580544,0.000499
8.02E-01,1.580483,0.000496
8.07E-01,1.580422,0.000493
8.11E-01,1.580361,0.00049
8.16E-01,1.580302,0.000488
8.21E-01,1.580243,0.000485
8.26E-01,1.580185,0.000482
8.31E-01,1.580128,0.000479
8.36E-01,1.580071,0.000476
8.40E-01,1.580015,0.000473
8.45E-01,1.579959,0.00047
8.50E-01,1.579905,0.000468
8.55E-01,1.579851,0.000465
8.60E-01,1.579797,0.000462
8.65E-01,1.579744,0.000459
8.70E-01,1.579692,0.000457
8.76E-01,1.579641,0.000454
8.81E-01,1.57959,0.000451
8.86E-01,1.579539,0.000449
8.91E-01,1.57949,0.000446
8.96E-01,1.57944,0.000443
9.01E-01,1.579392,0.000441
9.07E-01,1.579344,0.000438
9.12E-01,1.579297,0.000435
9.17E-01,1.57925,0.000433
9.23E-01,1.579203,0.00043
9.28E-01,1.579158,0.000428
9.34E-01,1.579112,0.000425
9.39E-01,1.579068,0.000423
9.45E-01,1.579024,0.00042
9.50E-01,1.57898,0.000418
9.56E-01,1.578937,0.000415
9.61E-01,1.578894,0.000413
9.67E-01,1.578852,0.00041
9.73E-01,1.578811,0.000408
9.78E-01,1.578769,0.000405
9.84E-01,1.578729,0.000403
9.90E-01,1.578689,0.000401
9.96E-01,1.578649,0.000398
1.00E+00,1.57861,0.000396
1.01E+00,1.578571,0.000394
1.01E+00,1.578533,0.000391
1.02E+00,1.578495,0.000389
1.03E+00,1.578458,0.000387
1.03E+00,1.578421,0.000384
1.04E+00,1.578384,0.000382
1.04E+00,1.578348,0.00038
1.05E+00,1.578313,0.000378
1.06E+00,1.578277,0.000375
1.06E+00,1.578242,0.000373
1.07E+00,1.578208,0.000371
1.07E+00,1.578174,0.000369
1.08E+00,1.57814,0.000367
1.09E+00,1.578107,0.000364
1.09E+00,1.578074,0.000362
1.10E+00,1.578042,0.00036
1.11E+00,1.57801,0.000358
1.11E+00,1.577978,0.000356
1.12E+00,1.577947,0.000354
1.13E+00,1.577916,0.000352
1.13E+00,1.577886,0.00035
1.14E+00,1.577855,0.000348
1.15E+00,1.577826,0.000346
1.15E+00,1.577796,0.000344
1.16E+00,1.577767,0.000342
1.17E+00,1.577738,0.00034
1.17E+00,1.57771,0.000338
1.18E+00,1.577682,0.000336
1.19E+00,1.577654,0.000334
1.19E+00,1.577626,0.000332
1.20E+00,1.577599,0.00033
1.21E+00,1.577572,0.000328
1.21E+00,1.577546,0.000326
1.22E+00,1.57752,0.000324
1.23E+00,1.577494,0.000322
1.24E+00,1.577468,0.00032
1.24E+00,1.577443,0.000318
1.25E+00,1.577418,0.000316
1.26E+00,1.577393,0.000314
1.26E+00,1.577369,0.000313
1.27E+00,1.577345,0.000311
1.28E+00,1.577321,0.000309
1.29E+00,1.577297,0.000307
1.29E+00,1.577274,0.000305
1.30E+00,1.577251,0.000304
1.31E+00,1.577228,0.000302
1.32E+00,1.577206,0.0003
1.33E+00,1.577184,0.000298
1.33E+00,1.577162,0.000296
1.34E+00,1.57714,0.000295
1.35E+00,1.577119,0.000293
1.36E+00,1.577097,0.000291
1.36E+00,1.577077,0.00029
1.37E+00,1.577056,0.000288
1.38E+00,1.577035,0.000286
1.39E+00,1.577015,0.000285
1.40E+00,1.576995,0.000283
1.41E+00,1.576975,0.000281
1.41E+00,1.576956,0.00028
1.42E+00,1.576937,0.000278
1.43E+00,1.576918,0.000276
1.44E+00,1.576899,0.000275
1.45E+00,1.57688,0.000273
1.46E+00,1.576862,0.000271
1.46E+00,1.576844,0.00027
1.47E+00,1.576826,0.000268
1.48E+00,1.576808,0.000267
1.49E+00,1.57679,0.000265
1.50E+00,1.576773,0.000264
1.51E+00,1.576756,0.000262
1.52E+00,1.576739,0.00026
1.52E+00,1.576722,0.000259
1.53E+00,1.576706,0.000257
1.54E+00,1.576689,0.000256
1.55E+00,1.576673,0.000254
1.56E+00,1.576657,0.000253
1.57E+00,1.576641,0.000251
1.58E+00,1.576626,0.00025
1.59E+00,1.57661,0.000249
1.60E+00,1.576595,0.000247
1.61E+00,1.57658,0.000246
1.62E+00,1.576565,0.000244
1.63E+00,1.576551,0.000243
1.64E+00,1.576536,0.000241
1.65E+00,1.576522,0.00024
1.65E+00,1.576508,0.000239
1.66E+00,1.576494,0.000237
1.67E+00,1.57648,0.000236
1.68E+00,1.576466,0.000234
1.69E+00,1.576452,0.000233
1.70E+00,1.576439,0.000232
1.71E+00,1.576426,0.00023
1.72E+00,1.576413,0.000229
1.73E+00,1.5764,0.000228
1.74E+00,1.576387,0.000226
1.75E+00,1.576374,0.000225
1.76E+00,1.576362,0.000224
1.77E+00,1.57635,0.000222
1.79E+00,1.576337,0.000221
1.80E+00,1.576325,0.00022
1.81E+00,1.576314,0.000218
1.82E+00,1.576302,0.000217
1.83E+00,1.57629,0.000216
1.84E+00,1.576279,0.000215
1.85E+00,1.576267,0.000213
1.86E+00,1.576256,0.000212
1.87E+00,1.576245,0.000211
1.88E+00,1.576234,0.00021
1.89E+00,1.576223,0.000208
1.90E+00,1.576212,0.000207
1.92E+00,1.576202,0.000206
1.93E+00,1.576191,0.000205
1.94E+00,1.576181,0.000204
1.95E+00,1.576171,0.000202
1.96E+00,1.576161,0.000201
1.97E+00,1.576151,0.0002
1.98E+00,1.576141,0.000199
1.99E+00,1.576131,0.000198
2.01E+00,1.576122,0.000197
